SET,CONTEXT,A,B,C
1,"John has to send a lightweight box to Tom, who lives right next door. However, John recently hurt his back and has trouble bending or lifting anything. John complains to his friend about this.",This box is tough to send to Tom.,Tom is tough to send this box to.,It is tough to send this box to Tom.
2,"Simon has to send a small vase to Ron, who resides just next door. However, Simon recently hurt his hand and has trouble holding anything. Simon complains to his friend about this.",This vase is tough to send to Ron.,Ron is tough to send this vase to.,It is tough to send this vase to Ron.
3,"Polly has to send a small gift to Ethan, who lives just up the street. However, the weather is very bad, and a thunderstorm is approaching. Polly complians to her friend about this.",This gift is tough to send to Ethan.,Ethan is tough to send this gift to.,It is tough to send this gift to Ethan.
4,"Lena has to send a small painting to Marco, who recently moved in next door. However, Lena recently hurt her leg, and it is difficult for her to walk. Lena complians to her friend about this.",This painting is tough to send to Marco.,Marco is tough to send this paining to.,It is tough to send this painting to Marco.
5,"David has to send a small souvenir to Charlie, who now lives right next door. However, David has been so busy lately that he does not have much time to visit Charlie. David complains to his friend about this.",This souvenir is tough to send to Charlie.,Charlie is tough to send this souvenir to.,It is tough to send this souvenir to Charlie.
6,"Sophie has to send a small cookbook to Clara, who recently became her new next-door neighbor. However, Sophie has a lot of homework to do, so she does not have much time to visit Clara. Sophie complains to her friend about this.",This cookbook is tough to send to Clara.,Clara is tough to send this cookbook to.,It is tough to send this cookbook to Clara.
7,"Sean has to send a lightweight camera to Leo, who is currently living right upstairs. However, Sean recently hurt his hand, so he cannot hold things well. Sean complains to his friend about this.",This camera is tough to send to Leo.,Leo is tough to send this camera to.,It is tough to send this camera to Leo.
8,"Maria has to send a thin art book to Peter, who is living right downstairs. However, the door to Maria's house does not open properly, so she has trouble opening it. Maria complains to her friend about this.",This art book is tough to send to Peter.,Peter is tough to send this art book to.,It is tough to send this art book to Peter.
9,"Owen has to send a small guitar to Ava, who lives just a few minutes away. However, heavy snow is falling outside, so it is difficult to walk outside. Owen complains to his friend about this.",This guitar is tough to send to Ava.,Ava is tough to send this guitar to.,It is tough to send this guitar to Ava.
10,"Rita needs to send a small cup to Yuki, who lives just around the corner. However, it is raining heavily outside, so it is difficult to walk outside. Rita complains to her friend about this.",This cup is tough to send to Yuki.,Yuki is tough to send this cup to.,It is tough to send this cup to Yuki.
11,"Jane has to send a lightweight backpack to Josh, who recently moved to a nearby town. However, the road in front of her house is under construction, so it is not easy to walk around. Jane complains to her friend about this.",This backpack is tough to send to Josh.,Josh is tough to send this backpack to.,It is tough to send this backpack to Josh.
12,"Mark has to send a small coffee grinder to Lucy, who moved to a nearby village close to Mark. However, the bridge to the nearby village is blocked, making it difficult to reach the village directly. Mark complains to his friend about this.",This coffee grinder is tough to send to Lucy.,Lucy is tough to send this coffee grinder to.,It is tough to send this coffee grinder to Lucy.
13,"Oliver has to send a small bookshelf to Amy, who now lives in a nearby farming town. However, the weather is so hot that it is very difficult to walk outside. Oliver complains to his friend about this.",This bookshelf is tough to send to Amy.,Amy is tough to send this bookshelf to.,It is tough to send this bookshelf to Amy.
14,"Jim has to send a small lamp to Kate, who recently settled in the same village where Jim lives. However, the weather is very humid, making it difficult to walk even for a short time. Jim complains to his friend about this.",This lamp is tough to send to Kate.,Kate is tough to send this lamp to.,It is tough to send this lamp to Kate.
15,"Victoria needs to send a lightweight yoga mat to Chris, who is staying at a retreat center nearby. However, the narrow road to the center makes it hard for her car to get through. Victoria complains to her friend about this.",This yoga mat is tough to send to Chris.,Chris is tough to send this yoga mat to.,It is tough to send this yoga mat to Chris.
16,"Arthur has to send a small phone charger to Matt, who left it behind during a visit and lives just a few minutes away. However, Arthur’s recent leg injury makes it hard for him to walk, even briefly. Arthur complains to his friend about this.",This phone charger is tough to send to Matt.,Matt is tough to send this phone charger to.,It is tough to send this phone charger to Matt.
17,"Sarah has to send a small blender to Anna, who now lives in a town just a few minutes away. However, due to the rainy weather, it is difficult to walk outside. Sarah complains to her friend about this.",This blender is tough to send to Anna.,Anna is tough to send this blender to.,It is tough to send this blender to Anna.
18,"Liam needs to send a small pinball machine to Emma, who left it behind during a visit and lives nearby. However, due to the heavy snow, it is difficult to walk outside. Liam complains to his friend about this.",This pinball machine is tough to send to Emma.,Emma is tough to send this pinball machine to.,It is tough to send this pinball machine to Emma.
19,"Kelly has to send a thin sketchbook to Brian, who is spending the season in a cabin just a few minutes away from where Kelly lives. However, it is raining outside, and it is hard to see what is ahead. Kelly complains to her friend about this.",This sketchbook is tough to send to Brian.,Brian is tough to send this sketchbook to.,It is tough to send this sketchbook to Brian.
20,"Joe has to send a thin magazine to Linda, who moved to a cottage just a few minutes away. However, the weather is too cold, making it difficult to go outside. Joe complains to his friend about this.",This magazine is tough to send to Linda.,Linda is tough to send this magazine to.,It is tough to send this magazine to Linda.
21,"Alex has to send a small dress to Rachel, who moved to a snowy town closer to where Alex now lives. However, heavy snow is falling, so it is not easy to walk outside. Alex complains to his friend about this.",This dress is tough to send to Rachel.,Rachel is tough to send this dress to.,It is tough to send this dress to Rachel.
22,"Natalie has to send a small notebook to Jake, who is staying in a quiet forest lodge not far from where Natalie lives. However, since Natalie recently hurt her hand, it is hard for her to hold anything. Natalie complains to her friend about this.",This notebook is tough to send to Jake.,Jake is tough to send this notebook to.,It is tough to send this notebook to Jake.
23,"Will has to send a lightweight toolbox to Mike, who moved to an off-grid cabin just a few minutes away from Will's house. However, Will has a headache, so it is difficult for him to walk even briefly. Will complains to his friend about this.",This toolbox is tough to send to Mike.,Mike is tough to send this toolbox to.,It is tough to send this toolbox to Mike.
24,"Chloe has to send a small bike to Sam, who is working in a nearby desert town. However, due to the extreme heat, it is difficult to stay outside. Chole complains to her friend about this.",This bike is tough to send to Sam.,Sam is tough to send this bike to.,It is tough to send this bike to Sam.
25,"Brandon has to send a small chair to Lisa, who forgot hers during a visit and now lives right next door. However, Brandon recently hurt his leg, so it is difficult for him to walk. Brandon complains to his friend about this.",This chair is tough to send to Lisa.,Lisa is tough to send this chair to.,It is tough to send this chair to Lisa.
26,"Haley has to send a lightweight coat to Ben, who moved to a cold region just a few minutes away from where Haley lives. However, because the weather is too cold, it is difficult for her to go outside. Haley complains to her friend about this.",This coat is tough to send to Ben.,Ben is tough to send this coat to.,It it tough to to send this coat to Ben.
27,"Robert has to send a small desk to Tina, who just moved into a cottage in the nearby forest. However, it is raining heavily outside, and there is lightning. Robert complains to his friend about this.",This desk is tough to send to Tina.,Tina is tough to send this desk to.,It is tough to send this desk to Tina.
28,"Grace has to send a small hair dryer to Lauren, who moved to the same town where Grace lives. However, Grace has been so busy that she does not have much time to visit Lauren. Grace complains to her friend about this.",This hair dryer is tough to send to Lauren.,Lauren is tough to send this hair dryer to.,It is tough to send this hair dryer to Lauren.
29,"George has to send a small drum to Dylan, who left for a music retreat in a town just a few minutes away from where George lives. However, the town has recently been packed with tourists, making it difficult for him to get around. George complains to his friend about this.",This drum is tough to send to Dylan.,Dylan is tough to send this drum to.,It is tough to send this drum to Dylan.
30,"Riley has to send a thin textbook to Adam, who is studying at a rural college located nearby. However, the college festival has drawn such a large crowd that Riley is struggling to find Adam. Riley complains to her friend about this.",This textbook is tough to send to Adam.,Adam is tough to send this textbook to.,It is tough to send this textbook to Adam.
31,"Luke has to send a small radio to Molly, who joined a community in the same town where Luke lives. However, there has been a protest in town, making it difficult for Luke to reach Molly. Luke complains to his friend about this.",This radio is tough to send to Molly.,Molly is tough to send this radio to.,It is tough to send this radio to Molly.
32,"Abby has to send a small brush to Tyler, who started an art course in the same village where she lives. However, the village festival has drawn such a large crowd that it is difficult for Abby to find Tyler. Abby complains to her friend about this.",This brush is tough to send to Tyler.,Tyler is tough to send this brush to.,It is tough to send this brush to Tyler.
33,"Noah has to send a small television to Carol, who recently moved into the same town where Noah lives. However, since the roads in town are under construction, Noah is having trouble getting around. Noah complains to his friend about this.",This television is tough to send to Carol.,Carol is tough to send this television to.,It is tough to send this television to Carol.
34,"Daisy needs to send a durable bowl to Steve, who lives in a tiny, remote cabin just a few minutes away. However, the weather is too hot and humid, making it hard to do anything outside. Daisy complains to her friend about this.",This bowl is tough to send to Steve.,Steve is tough to send this bowl to.,It is tough to send this bowl to Steve.
35,"Zoe has to send a short umbrella to Nick, who just started a job in a rainy, remote town very close to Zoe's house. However, the weather is terrible, with pouring rain and lightning. Zoe complains to her friend about this.",This umbrella is tough to send to Nick.,Nick is tough to send this umbrella to.,It is tough to send this umbrealla to Nick.
36,"Pam has to send a small table to Olivia, who lives in a rural area very close to where she now lives. However, since Pam recently hurt her leg, walking around is difficult for her. Pam complains to her friend about this.",This table is tough to send to Olivia.,Olivia is tough to send this table to.,It is tough to send this table to Olivia.
37,"Ella needs to send a durable bottle to Jessica, who keeps misplacing hers at a camp just minutes from Ella’s house. However, because Ella recently hurt her hand, she is having trouble holding things. Ella complains to her friend about this.",This bottle is tough to send to Jessica.,Jessica is tough to send this bottle to.,It is tough to send this bottle to Jessica.
38,"Henry has to send a small computer to Amanda, who is teaching at a university located right in the town where Henry lives. However, Henry is busy handling tasks his colleague failed to complete. Henry complains to his friend about this.",This computer is tough to send to Amanda.,Amanda is tough to send this computer to.,It is tough to send this computer to Amanda.
