NUM,SET,TYPE,GAP,GRAMMATICALITY,SENTENCE
1,1,Tough,+,Grammatical,John is easy to please.
2,1,Subject-Control,+,Grammatical,John is eager to please.
3,1,Tough,-,Ungrammatical,John is easy to please his friends.
4,1,Subject-Control,-,Grammatical,John is eager to please his friends.
5,2,Tough,+,Grammatical,Tom is difficult to please.
6,2,Subject-Control,+,Grammatical,Tom is glad to please.
7,2,Tough,-,Ungrammatical,Tom is difficult to please the audience.
8,2,Subject-Control,-,Grammatical,Tom is glad to please the audience.
9,3,Tough,+,Grammatical,Alex is hard to please.
10,3,Subject-Control,+,Grammatical,Alex is willing to please.
11,3,Tough,-,Ungrammatical,Alex is hard to please the coach.
12,3,Subject-Control,-,Grammatical,Alex is willing to please the coach.
13,4,Tough,+,Grammatical,Mary is impossible to please.
14,4,Subject-Control,+,Grammatical,Mary is happy to please.
15,4,Tough,-,Ungrammatical,Mary is impossible to please her partner.
16,4,Subject-Control,-,Grammatical,Mary is happy to please her partner.
17,5,Tough,+,Grammatical,Alice is tough to please.
18,5,Subject-Control,+,Grammatical,Alice is ready to please.
19,5,Tough,-,Ungrammatical,Alice is tough to please them.
20,5,Subject-Control,-,Grammatical,Alice is ready to please them.
21,6,Tough,+,Grammatical,David is easy to understand.
22,6,Subject-Control,+,Grammatical,David is eager to understand.
23,6,Tough,-,Ungrammatical,David is easy to understand the book.
24,6,Subject-Control,-,Grammatical,David is eager to understand the book.
25,7,Tough,+,Grammatical,Chris is difficult to understand.
26,7,Subject-Control,+,Grammatical,Chris is glad to understand.
27,7,Tough,-,Ungrammatical,Chris is difficult to understand him.
28,7,Subject-Control,-,Grammatical,Chris is glad to understand him.
29,8,Tough,+,Grammatical,Brian is hard to understand.
30,8,Subject-Control,+,Grammatical,Brian is willing to understand.
31,8,Tough,-,Ungrammatical,Brian is hard to understand the situation.
32,8,Subject-Control,-,Grammatical,Brian is willing to understand the situation.
33,9,Tough,+,Grammatical,Kevin is impossible to understand.
34,9,Subject-Control,+,Grammatical,Kevin is happy to understand.
35,9,Tough,-,Ungrammatical,Kevin is impossible to understand the circumstances.
36,9,Subject-Control,-,Grammatical,Kevin is happy to understand the circumstances.
37,10,Tough,+,Grammatical,Daniel is tough to understand.
38,10,Subject-Control,+,Grammatical,Daniel is ready to understand.
39,10,Tough,-,Ungrammatical,Daniel is tough to understand him.
40,10,Subject-Control,-,Grammatical,Daniel is ready to understand him.
41,11,Tough,+,Grammatical,Mark is easy to convince.
42,11,Subject-Control,+,Grammatical,Mark is eager to convince.
43,11,Tough,-,Ungrammatical,John is easy to convince his parents.
44,11,Subject-Control,-,Grammatical,John is eager to convince his parents.
45,12,Tough,+,Grammatical,Paul is difficult to convince.
46,12,Subject-Control,+,Grammatical,Paul is prepared to convince.
47,12,Tough,-,Ungrammatical,Paul is difficult to convince his friends.
48,12,Subject-Control,-,Grammatical,Paul is prepared to convince his friends.
49,13,Tough,+,Grammatical,Luke is hard to convince.
50,13,Subject-Control,+,Grammatical,Luke is willing to convince.
51,13,Tough,-,Ungrammatical,Luke is hard to convince the audience.
52,13,Subject-Control,-,Grammatical,Luke is willing to convince the audience.
53,14,Tough,+,Grammatical,Adam is impossible to convince.
54,14,Subject-Control,+,Grammatical,Adam is determined to convince.
55,14,Tough,-,Ungrammatical,Adam is impossible to convince the reviewers.
56,14,Subject-Control,-,Grammatical,Adam is determined to convince the reviewers.
57,15,Tough,+,Grammatical,Fred is tough to convince.
58,15,Subject-Control,+,Grammatical,Fred is ready to convince.
59,15,Tough,-,Ungrammatical,Fred is tough to convince his advisor.
60,15,Subject-Control,-,Grammatical,Fred is ready to convince his advisor.
61,16,Tough,+,Grammatical,Emma is easy to persuade.
62,16,Subject-Control,+,Grammatical,Emma is eager to persuade.
63,16,Tough,-,Ungrammatical,Emma is easy to persuade her lover.
64,16,Subject-Control,-,Grammatical,Emma is eager to persuade her lover.
65,17,Tough,+,Grammatical,Sarah is difficult to persuade.
66,17,Subject-Control,+,Grammatical,Sarah is prepared to persuade.
67,17,Tough,-,Ungrammatical,Sarah is difficult to persuade her teacher.
68,17,Subject-Control,-,Grammatical,Sarah is prepared to persuade her teacher.
69,18,Tough,+,Grammatical,Olivia is hard to persuade.
70,18,Subject-Control,+,Grammatical,Olivia is willing to persuade.
71,18,Tough,-,Ungrammatical,Olivia is hard to persuade the opponents.
72,18,Subject-Control,-,Grammatical,Olivia is willing to persuade the opponents.
73,19,Tough,+,Grammatical,Grace is impossible to persuade.
74,19,Subject-Control,+,Grammatical,Grace is determined to persuade.
75,19,Tough,-,Ungrammatical,Grace is impossible to persuade the committee.
76,19,Subject-Control,-,Grammatical,Grace is determined to persuade the committee.
77,20,Tough,+,Grammatical,Sophia is tough to persuade.
78,20,Subject-Control,+,Grammatical,Sophia is ready to persuade.
79,20,Tough,-,Ungrammatical,Sophia is tough to persuade her boyfriend.
80,20,Subject-Control,-,Grammatical,Sophia is ready to persuade her boyfriend.
81,21,Tough,+,Grammatical,Lucy is easy to deceive.
82,21,Subject-Control,+,Grammatical,Lucy is eager to deceive.
83,21,Tough,-,Ungrammatical,Lucy is easy to deceive the officer.
84,21,Subject-Control,-,Grammatical,Lucy is eager to deceive the officer.
85,22,Tough,+,Grammatical,Julia is difficult to deceive.
86,22,Subject-Control,+,Grammatical,Julia is frustrated to deceive.
87,22,Tough,-,Ungrammatical,Julia is difficult to deceive the clerk.
88,22,Subject-Control,-,Grammatical,Julia is frustrated to deceive the clerk.
89,23,Tough,+,Grammatical,Mia is hard to deceive.
90,23,Subject-Control,+,Grammatical,Mia is anxious to deceive.
91,23,Tough,-,Ungrammatical,Mia is hard to deceive the prosecutor.
92,23,Subject-Control,-,Grammatical,Mia is anxious to deceive the prosecutor.
93,24,Tough,+,Grammatical,Taylor is impossible to deceive.
94,24,Subject-Control,+,Grammatical,Taylor is determined to deceive.
