SET,CONTEXT,A,B,C
1,"John has to send a very heavy box to Tom, who lives right next door. John complains to his friend about this.",This box is tough to send to Tom.,Tom is tough to send this box to.,It is tough to send this box to Tom.
2,"Simon has to send a very fragile vase to Ron, who resides just next door. Simon complains to his friend about this.",This vase is tough to send to Ron.,Ron is tough to send this vase to.,It is tough to send this vase to Ron.
3,"Polly has to send a very heavy gift to Ethan, who lives just up the street. Polly complians to her friend about this.",This gift is tough to send to Ethan.,Ethan is tough to send this gift to.,It is tough to send this gift to Ethan.
4,"Lena has to send a very large painting to Marco, who recently moved in next door. Lena complians to her friend about this.",This painting is tough to send to Marco.,Marco is tough to send this paining to.,It is tough to send this painting to Marco.
5,"David has to send a very heavy souvenir to Charlie, who now lives right next door. David complains to his friend about this.",This souvenir is tough to send to Charlie.,Charlie is tough to send this souvenir to.,It is tough to send this souvenir to Charlie.
6,"Sophie has to send a very heavy cookbook to Clara, who recently became her new next-door neighbor. Sophie complains to her friend about this.",This cookbook is tough to send to Clara.,Clara is tough to send this cookbook to.,It is tough to send this cookbook to Clara.
7,"Sean has to send a very heavy camera to Leo, who is currently living right upstairs. Sean complains to his friend about this.",This camera is tough to send to Leo.,Leo is tough to send this camera to.,It is tough to send this camera to Leo.
8,"Maria has to send a very large and heavy art book to Peter, who is living right downstairs. Maria complains to her friend about this.",This art book is tough to send to Peter.,Peter is tough to send this art book to.,It is tough to send this art book to Peter.
9,"Owen has to send a very heavy guitar to Ava, who lives just a few minutes away. Owen complains to his friend about this.",This guitar is tough to send to Ava.,Ava is tough to send this guitar to.,It is tough to send this guitar to Ava.
10,"Rita needs to send a very delicate cup to Yuki, who lives just around the corner. Rita complains to her friend about this.",This cup is tough to send to Yuki.,Yuki is tough to send this cup to.,It is tough to send this cup to Yuki.
11,"Jane has to send a very heavy backpack to Josh, who recently moved to a nearby town. Jane complains to her friend about this.",This backpack is tough to send to Josh.,Josh is tough to send this backpack to.,It is tough to send this backpack to Josh.
12,"Mark has to send a very heavy coffee grinder to Lucy, who moved to a nearby village close to Mark. Mark complains to his friend about this.",This coffee grinder is tough to send to Lucy.,Lucy is tough to send this coffee grinder to.,It is tough to send this coffee grinder to Lucy.
13,"Oliver has to send a very heavy bookshelf to Amy, who now lives in a nearby farming town. Oliver complains to his friend about this.",This bookshelf is tough to send to Amy.,Amy is tough to send this bookshelf to.,It is tough to send this bookshelf to Amy.
14,"Jim has to send a very heavy lamp to Kate, who recently settled in the same village where Jim lives. Jim complains to his friend about this.",This lamp is tough to send to Kate.,Kate is tough to send this lamp to.,It is tough to send this lamp to Kate.
15,"Victoria needs to send a very large yoga mat to Chris, who is staying at a retreat center nearby. Victoria complains to her friend about this.",This yoga mat is tough to send to Chris.,Chris is tough to send this yoga mat to.,It is tough to send this yoga mat to Chris.
16,"Arthur has to send a very heavy phone charger to Matt, who left it behind during a visit and lives just a few minutes away. Arthur complains to his friend about this.",This phone charger is tough to send to Matt.,Matt is tough to send this phone charger to.,It is tough to send this phone charger to Matt.
17,"Sarah has to send a very heavy blender to Anna, who now lives in a town just a few minutes away. Sarah complains to her friend about this.",This blender is tough to send to Anna.,Anna is tough to send this blender to.,It is tough to send this blender to Anna.
18,"Liam needs to send a very heavy pinball machine to Emma, who left it behind during a visit and lives nearby. Liam complains to his friend about this.",This pinball machine is tough to send to Emma.,Emma is tough to send this pinball machine to.,It is tough to send this pinball machine to Emma.
19,"Kelly has to send a very large sketchbook to Brian, who is spending the season in a cabin just a few minutes away from where Kelly lives. Kelly complains to her friend about this.",This sketchbook is tough to send to Brian.,Brian is tough to send this sketchbook to.,It is tough to send this sketchbook to Brian.
20,"Joe has to send a very large and thick magazine to Linda, who moved to a cottage just a few minutes away. Joe complains to his friend about this.",This magazine is tough to send to Linda.,Linda is tough to send this magazine to.,It is tough to send this magazine to Linda.
21,"Alex has to send a very delicate dress to Rachel, who moved to a snowy town closer to where Alex now lives. Alex complains to his friend about this.",This dress is tough to send to Rachel.,Rachel is tough to send this dress to.,It is tough to send this dress to Rachel.
22,"Natalie has to send a very large notebook to Jake, who is staying in a quiet forest lodge not far from where Natalie lives. Natalie complains to her friend about this.",This notebook is tough to send to Jake.,Jake is tough to send this notebook to.,It is tough to send this notebook to Jake.
23,"Will has to send a very heavy toolbox to Mike, who moved to an off-grid cabin just a few minutes away from Will's house. Will complains to his friend about this.",This toolbox is tough to send to Mike.,Mike is tough to send this toolbox to.,It is tough to send this toolbox to Mike.
24,"Chloe has to send a very large bike to Sam, who is working in a nearby desert town. Chole complains to her friend about this.",This bike is tough to send to Sam.,Sam is tough to send this bike to.,It is tough to send this bike to Sam.
25,"Brandon has to send a very large chair to Lisa, who forgot hers during a visit and now lives right next door. Brandon complains to his friend about this.",This chair is tough to send to Lisa.,Lisa is tough to send this chair to.,It is tough to send this chair to Lisa.
26,"Haley has to send a very heavy coat to Ben, who moved to a cold region just a few minutes away from where Haley lives. Haley complains to her friend about this.",This coat is tough to send to Ben.,Ben is tough to send this coat to.,It it tough to to send this coat to Ben.
27,"Robert has to send a very large desk to Tina, who just moved into a cottage in the nearby forest. Robert complains to his friend about this.",This desk is tough to send to Tina.,Tina is tough to send this desk to.,It is tough to send this desk to Tina.
28,"Grace has to send a very delicate hair dryer to Lauren, who moved to the same town where Grace lives. Grace complains to her friend about this.",This hair dryer is tough to send to Lauren.,Lauren is tough to send this hair dryer to.,It is tough to send this hair dryer to Lauren.
29,"George has to send a very large drum to Dylan, who left for a music retreat in a town just a few minutes away from where George lives. George complains to his friend about this.",This drum is tough to send to Dylan.,Dylan is tough to send this drum to.,It is tough to send this drum to Dylan.
30,"Riley has to send a very thick textbook to Adam, who is studying at a rural college located nearby. Riley complains to her friend about this.",This textbook is tough to send to Adam.,Adam is tough to send this textbook to.,It is tough to send this textbook to Adam.
31,"Luke has to send a very heavy radio to Molly, who joined a community in the same town where Luke lives. Luke complains to his friend about this.",This radio is tough to send to Molly.,Molly is tough to send this radio to.,It is tough to send this radio to Molly.
