SET,CONTEXT,A,B,C
1,"John has to send a lightweight box to Tom, who lives alone in a remote island far away. John complains to his friend about this.",This box is tough to send to Tom.,Tom is tough to send this box to.,It is tough to send this box to Tom.
2,"Simon has to send a small vase to Ron, who lives in a faraway country Simon has never been to. Simon complains to his friend about this.",This vase is tough to send to Ron.,Ron is tough to send this vase to.,It is tough to send this vase to Ron.
3,"Polly has to send a small gift to Ethan, who recently moved from the city to a remote rural area. Polly complians to her friend about this.",This gift is tough to send to Ethan.,Ethan is tough to send this gift to.,It is tough to send this gift to Ethan.
4,"Lena has to send a small painting to Marco, who recently moved to a secluded mountain village. Lena complians to her friend about this.",This painting is tough to send to Marco.,Marco is tough to send this paining to.,It is tough to send this painting to Marco.
5,"David has to send a small souvenir to Charlie, who now lives on an island that is only reachable by ferry. David complains to his friend about this.",This souvenir is tough to send to Charlie.,Charlie is tough to send this souvenir to.,It is tough to send this souvenir to Charlie.
6,"Sophie has to send a small cookbook to Clara, who just relocated to a desert town with no reliable postal service. Sophie complains to her friend about this.",This cookbook is tough to send to Clara.,Clara is tough to send this cookbook to.,It is tough to send this cookbook to Clara.
7,"Sean has to send a lightweight camera to Leo, who is currently living in a small cabin deep in the forest. Sean complains to his friend about this.",This camera is tough to send to Leo.,Leo is tough to send this camera to.,It is tough to send this camera to Leo.
8,"Maria has to send a thin art book to Peter, who moved overseas to study in a distant country. Maria complains to her friend about this.",This art book is tough to send to Peter.,Peter is tough to send this art book to.,It is tough to send this art book to Peter.
9,"Owen has to send a small guitar to Ava, who lives in a rural community where deliveries are often delayed. Owen complains to his friend about this.",This guitar is tough to send to Ava.,Ava is tough to send this guitar to.,It is tough to send this guitar to Ava.
10,"Rita has to send a small cup to Yuki, who just settled in a quiet coastal village far from the nearest city. Rita complains to her friend about this.",This cup is tough to send to Yuki.,Yuki is tough to send this cup to.,It is tough to send this cup to Yuki.
11,"Jane has to send a lightweight backpack to Josh, who recently moved to a rural town with no reliable delivery services. Jane complains to her friend about this.",This backpack is tough to send to Josh.,Josh is tough to send this backpack to.,It is tough to send this backpack to Josh.
12,"Mark has to send a small coffee grinder to Lucy, who moved to a quiet mountain village. Mark complains to his friend about this.",This coffee grinder is tough to send to Lucy.,Lucy is tough to send this coffee grinder to.,It is tough to send this coffee grinder to Lucy.
13,"Oliver has to send a small bookshelf to Amy, who now lives in a far-off farming town. Oliver complains to his friend about this.",This bookshelf is tough to send to Amy.,Amy is tough to send this bookshelf to.,It is tough to send this bookshelf to Amy.
14,"Jim has to send a small lamp to Kate, who recently settled in a small cabin with a tricky address. Jim complains to his friend about this.",This lamp is tough to send to Kate.,Kate is tough to send this lamp to.,It is tough to send this lamp to Kate.
15,"Victoria has to send a lightweight yoga mat to Chris, who is staying at a retreat center far from where Victoria lives now. Victoria complains to her friend about this.",This yoga mat is tough to send to Chris.,Chris is tough to send this yoga mat to.,It is tough to send this yoga mat to Chris.
16,"Arthur has to send a small phone charger to Matt, who left it behind during a visit and now lives in a different country. Arthur complains to his friend about this.",This phone charger is tough to send to Matt.,Matt is tough to send this phone charger to.,It is tough to send this phone charger to Matt.
17,"Sarah has to send a small blender to Anna, who now lives in a town with barely a functioning post office. Sarah complains to her friend about this.",This blender is tough to send to Anna.,Anna is tough to send this blender to.,It is tough to send this blender to Anna.
